year,global_primary_energy_TW,coal_TW,oil_TW,gas_TW,nuclear_TW,hydro_TW,wind_TW,solar_TW,world_gdp_2011_USD,kardashev_K,energy_observed,gdp_observed,country_n,data_status,dKdt,dKdt_roll10,dKdt_zscore,e_aii_global
1800,0.6453196347031963,0.0110730593607305,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5809774879292038,True,False,55.0,partial,0.0002359802228715,0.0002339587954061,-0.8092863951452895,6.960370680769079e-05
1801,0.6488356164383562,0.0114269406392694,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5812134681520753,False,False,55.0,estimated,0.0002353425696622,0.0002333572462081,-0.8105134675714621,7.143892486957195e-05
1802,0.652351598173516,0.0117808219178082,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5814481730685284,False,False,55.0,estimated,0.0002340741183437,0.0002327539485823,-0.8129544207641659,7.325436036878641e-05
1803,0.6558675799086757,0.012134703196347,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5816816163887628,False,False,55.0,estimated,0.0002328192672722,0.0002321511528381,-0.8153692022260765,7.505033145703701e-05
1804,0.6593835616438356,0.0124885844748858,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5819138116030729,False,False,55.0,estimated,0.0002315777988807,0.0002315500869455,-0.8177582306338149,7.682714950019979e-05
1805,0.6628995433789955,0.0128424657534246,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5821447719865244,False,False,55.0,estimated,0.0002303495002181,0.0002309514681195,-0.8201219157815401,7.858511925828269e-05
1806,0.6664155251141552,0.0131963470319634,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5823745106035091,False,False,55.0,estimated,0.0002291341628276,0.0002296120753576,-0.8224606588141444,8.032453905968708e-05
1807,0.669931506849315,0.0135502283105022,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5826030403121797,False,False,55.0,estimated,0.000227931582629,0.000228041724375,-0.8247748524551074,8.204570096998176e-05
1808,0.6734474885844749,0.013904109589041,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5828303737687672,False,False,55.0,estimated,0.0002267415598041,0.0002264876968003,-0.8270648812259107,8.374889095539011e-05
1809,0.6769634703196348,0.0142579908675799,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.583056523431788,False,False,55.0,estimated,0.0002255638986862,0.000224949739333,-0.8293311216591508,8.543438904118336e-05
1810,0.6804794520547945,0.0146118721461187,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5832815015661398,True,False,55.0,partial,0.0002225862952516,0.0002234276038887,-0.8350610937156779,8.710246946516009e-05
1811,0.6839383561643836,0.0148972602739726,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5835016960222914,False,False,55.0,estimated,0.0002196390598369,0.0002219210474652,-0.8407326268602381,8.835457973029318e-05
1812,0.6873972602739726,0.0151826484018264,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5837207796858136,False,False,55.0,estimated,0.0002185338425962,0.0002204298320131,-0.8428594594100469,8.959408904516876e-05
1813,0.6908561643835617,0.0154680365296803,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.583938763707484,False,False,55.0,estimated,0.0002174396925992,0.0002189537243101,-0.8449649946319586,9.082118667702282e-05
1814,0.6943150684931507,0.0157534246575342,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5841556590710122,False,False,55.0,estimated,0.0002163564444377,0.0002174924958392,-0.8470495508303784,9.203605812156138e-05
1815,0.6977739726027397,0.0160388127853881,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5843714765963595,False,False,55.0,estimated,0.0002152839359833,0.0002160459226708,-0.8491134399979515,9.323888519644122e-05
1816,0.7012328767123287,0.016324200913242,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5845862269429789,False,False,55.0,estimated,0.0002142220083068,0.0002177598880912,-0.8511569679714186,9.442984613198104e-05
1817,0.7046917808219177,0.0166095890410958,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5847999206129731,False,False,55.0,estimated,0.0002131705055989,0.0002225999451289,-0.8531804345833045,9.560911565920134e-05
1818,0.7081506849315068,0.0168949771689497,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5850125679541769,False,False,55.0,estimated,0.0002121292750953,0.0002273861067857,-0.8551841338068774,9.677686509528677e-05
1819,0.7116095890410958,0.0171803652968036,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5852241791631639,False,False,55.0,estimated,0.0002110981670019,0.0002321192711531,-0.8571683538995061,9.793326242655054e-05
1820,0.7150684931506849,0.0174657534246575,0.0,0.0,0.0,0.0,0.0,0.0,809254083498.0411,0.5854347642881808,True,True,55.0,complete,0.0002397259494558,0.0002368003164168,-0.8020782799173393,9.907847238899656e-05
1821,0.7195091324200913,0.0187328767123287,0.0,0.0,0.0,0.0,0.0,0.0,514638148886.605,0.5857036310620757,False,True,14.0,partial,0.0002680396302142,0.0002414301014066,-0.7475926497363359,0.00010561066674302005
1822,0.7239497716894977,0.02,0.0,0.0,0.0,0.0,0.0,0.0,320115796228.9862,0.5859708435486093,False,True,13.0,partial,0.000266395459164,0.0002460094661286,-0.7507566218303491,0.00011206272537520756
1823,0.7283904109589041,0.0212671232876712,0.0,0.0,0.0,0.0,0.0,0.0,326588401038.93176,0.5862364219804037,False,True,13.0,partial,0.0002647713362732,0.0002505392322794,-0.7538820141079543,0.00011843611393019543
1824,0.7328310502283105,0.0225342465753424,0.0,0.0,0.0,0.0,0.0,0.0,338254488330.00903,0.5865003862211559,False,True,13.0,partial,0.0002631668970745,0.000255020203744,-0.7569695279348713,0.0001247322625279308
1825,0.7372716894977169,0.0238013698630136,0.0,0.0,0.0,0.0,0.0,0.0,339369172696.43994,0.5867627557745527,False,True,13.0,partial,0.0002615817858814,0.000259453167077,-0.760019847778446,0.00013095256683350796
1826,0.7417123287671232,0.0250684931506849,0.0,0.0,0.0,0.0,0.0,0.0,342532377358.04175,0.5870235497929187,False,True,13.0,partial,0.0002600156555266,0.000269229813807,-0.7630336417127114,0.00013709838908857722
1827,0.7461529680365296,0.0263356164383561,0.0,0.0,0.0,0.0,0.0,0.0,349027498653.2331,0.587282787085606,False,True,13.0,partial,0.0002584681671074,0.0002842552296761,-0.7660115619074241,0.0001431710591059205
1828,0.750593607305936,0.0276027397260274,0.0,0.0,0.0,0.0,0.0,0.0,349746320131.75256,0.5875404861271336,False,True,13.0,partial,0.0002569389897416,0.0002990460113108,-0.768954245098194,0.00014917187522872893
1829,0.7550342465753425,0.0288698630136986,0.0,0.0,0.0,0.0,0.0,0.0,354337827832.0864,0.5877966650650892,False,True,13.0,partial,0.0002554278003316,0.0003136076960516,-0.7718623130398417,0.00015510210525602049
1830,0.7594748858447489,0.0301369863013698,0.0,0.0,0.0,0.0,0.0,0.0,717882512010.5791,0.5880513417277969,True,True,17.0,complete,0.0003374924167559,0.0003279456458585,-0.6139406927604294,0.00016096298733560074
1831,0.7668607305936073,0.0311872146118721,0.0,0.0,0.0,0.0,0.0,0.0,575107088073.289,0.5884716498986011,False,True,15.0,partial,0.0004182937889048,0.0003420650542924,-0.4584500054637475,0.0001649680002963638
1832,0.7742465753424658,0.0322374429223744,0.0,0.0,0.0,0.0,0.0,0.0,381378322115.97406,0.5888879293056066,False,True,14.0,partial,0.0004143032755112,0.0003559709531608,-0.4661291779051239,0.00016889660244721844
1833,0.7816324200913243,0.0332876712328767,0.0,0.0,0.0,0.0,0.0,0.0,392241885444.7576,0.5893002564496237,False,True,15.0,partial,0.0004103881836811,0.0003696682188479,-0.4736632123319392,0.00017275095986405133
1834,0.7890182648401827,0.034337899543379,0.0,0.0,0.0,0.0,0.0,0.0,396791978040.9873,0.5897087056729688,False,True,15.0,partial,0.0004065463951439,0.0003831615783463,-0.4810561850525754,0.00017653315751790813
1835,0.7964041095890411,0.0353881278538812,0.0,0.0,0.0,0.0,0.0,0.0,412158403817.277,0.5901133492399117,False,True,15.0,partial,0.0004027758702203,0.0003964556150067,-0.4883120211387629,0.00018024520303582103
1836,0.8037899543378996,0.0364383561643835,0.0,0.0,0.0,0.0,0.0,0.0,417412510297.6822,0.5905142574134095,False,True,15.0,partial,0.0003990746442101,0.0003965944421611,-0.4954345013746484,0.00018388903025429423
1837,0.8111757990867581,0.0374885844748858,0.0,0.0,0.0,0.0,0.0,0.0,420894878883.236,0.5909114985283319,False,True,15.0,partial,0.0003954408239782,0.0003837811010813,-0.5024272688282421,0.0001874665025786555
1838,0.8185616438356165,0.0385388127853881,0.0,0.0,0.0,0.0,0.0,0.0,429111387382.5683,0.591305139061366,False,True,15.0,partial,0.0003918725847262,0.0003711742334931,-0.5092938350630835,0.00019097941616054437
1839,0.8259474885844749,0.0395890410958904,0.0,0.0,0.0,0.0,0.0,0.0,431287337845.1063,0.5916952436977845,False,True,15.0,partial,0.0003883681669357,0.0003587688366803,-0.5160375860208934,0.00019442950290491493
1840,0.8333333333333334,0.0406392694063926,0.0,0.0,0.0,0.0,0.0,0.0,807017945226.5997,0.5920818753952375,True,True,18.0,complete,0.0003388806883,0.0003465600698523,-0.6112691626762379,0.00019781843331713133
1841,0.8389383561643836,0.0430707762557077,0.0,0.0,0.0,0.0,0.0,0.0,663817894907.0515,0.5923730050743845,False,True,16.0,partial,0.0002901603781063,0.0003345432475839,-0.705024433358622,0.0002082534805152485
1842,0.8445433789954339,0.0455022831050228,0.0,0.0,0.0,0.0,0.0,0.0,446806777090.8503,0.5926621961514501,False,True,15.0,partial,0.0002882345996292,0.0003227138335744,-0.7087303186797407,0.00021855001812524217
1843,0.8501484018264841,0.0479337899543379,0.0,0.0,0.0,0.0,0.0,0.0,456548242104.928,0.5929494742736431,False,True,15.0,partial,0.0002863342155532,0.0003110674347077,-0.7123873361071086,0.00022871078572552744
1844,0.8557534246575343,0.0503652968036529,0.0,0.0,0.0,0.0,0.0,0.0,477578018861.1138,0.5932348645825567,False,True,15.0,partial,0.0002844587268637,0.0002995997953966,-0.7159964459228791,0.0002387384511196402
1845,0.8613584474885845,0.052796803652968,0.0,0.0,0.0,0.0,0.0,0.0,485675037856.8189,0.5935183917273706,False,True,15.0,partial,0.0002826076475359,0.0002883067921949,-0.7195585834122394,0.0002486356126715029
1846,0.8669634703196347,0.0552283105022831,0.0,0.0,0.0,0.0,0.0,0.0,544454560532.99567,0.5938000798776286,False,True,17.0,partial,0.0002807805041151,0.0002741032933188,-0.7230746596709938,0.00025840480155009865
1847,0.872568493150685,0.0576598173515981,0.0,0.0,0.0,0.0,0.0,0.0,507853707518.7546,0.594079952735601,False,True,16.0,partial,0.000278976835312,0.0002569836319842,-0.7265455623845197,0.0002680484838876368
1848,0.8781735159817352,0.0600913242009132,0.0,0.0,0.0,0.0,0.0,0.0,515880751596.2412,0.5943580335482528,False,True,16.0,partial,0.0002771961916153,0.0002400240503834,-0.7299721565731803,0.0002775690628550701
1849,0.8837785388127855,0.0625228310502283,0.0,0.0,0.0,0.0,0.0,0.0,524665020184.84143,0.5946343451188316,False,True,16.0,partial,0.0002754381349178,0.0002232221861475,-0.7333552853113514,0.0002869688806586286
1850,0.8893835616438357,0.0649543378995433,0.0,0.0,0.0,0.0,0.0,0.0,1224404377657.053,0.5949089098180884,True,True,35.0,complete,0.0001968456995393,0.0002065757253657,-0.8845951896386779,0.00029625022046086356
1851,0.8918264840182649,0.0705707762557077,0.0,0.0,0.0,0.0,0.0,0.0,764130830806.3237,0.5950280365179104,False,True,17.0,partial,0.0001189637647605,0.0001900824013021,-1.0344678371532203,0.00032098456522429577
1852,0.8942694063926941,0.0761872146118721,0.0,0.0,0.0,0.0,0.0,0.0,561569530259.9178,0.5951468373476094,False,True,16.0,partial,0.0001186387836212,0.0001737399931542,-1.0350932168881446,0.00034558377378870894
1853,0.8967123287671234,0.0818036529680365,0.0,0.0,0.0,0.0,0.0,0.0,574062261467.9701,0.5952653140851529,False,True,16.0,partial,0.0001183155731938,0.0001575463248513,-1.0357151891413967,0.00037004895061280277
1854,0.8991552511415526,0.0874200913242009,0.0,0.0,0.0,0.0,0.0,0.0,591827634800.2991,0.5953834684939971,False,True,16.0,partial,0.0001179941190457,0.0001414992638919,-1.0363337816861729,0.00039438118815242465
1855,0.9015981735159816,0.0930365296803653,0.0,0.0,0.0,0.0,0.0,0.0,597886891162.9135,0.5955013023232445,False,True,17.0,partial,0.0001176744069005,0.0001255967202181,-1.0369490219954964,0.0004185815670231817
1856,0.9040410958904108,0.0986529680365296,0.0,0.0,0.0,0.0,0.0,0.0,619750877216.7671,0.5956188173077983,False,True,16.0,partial,0.0001173564226361,0.0001275901128565,-1.0375609372454213,0.0004426511561604145
1857,0.9064840182648402,0.104269406392694,0.0,0.0,0.0,0.0,0.0,0.0,633661233390.6876,0.5957360151685167,False,True,16.0,partial,0.0001170401522828,0.0001473089209843,-1.0381695543182383,0.0004665910129765875
1858,0.9089269406392694,0.1098858447488584,0.0,0.0,0.0,0.0,0.0,0.0,644133572336.354,0.595852897612364,False,True,16.0,partial,0.0001167255820212,0.0001668317385783,-1.0387748998078148,0.000490402183516137
1859,0.9113698630136986,0.1155022831050228,0.0,0.0,0.0,0.0,0.0,0.0,653450528467.7805,0.5959694663325592,False,True,16.0,partial,0.0001164126981798,0.0001861616675834,-1.0393770000228002,0.0005140857026078318
1860,0.9138127853881278,0.1211187214611872,0.0,0.0,0.0,0.0,0.0,0.0,702560528037.169,0.5960857230087238,True,True,20.0,complete,0.0002167796259236,0.0002053017413043,-0.8462351985694541,0.0005376425940146892
1861,0.920513698630137,0.1277511415525114,6.84931506849315e-05,0.0,0.0,0.0,0.0,0.0,900509260538.7518,0.5964030255844065,False,True,19.0,partial,0.0003161518460381,0.0002242549263728,-0.655007569720116,0.0005632817049888109
1862,0.927214611872146,0.1343835616438356,0.0001369863013698,0.0,0.0,0.0,0.0,0.0,692931898477.3805,0.5967180267008001,False,True,17.0,partial,0.0003138669595613,0.000243024124646,-0.6594045070396688,0.0005885502319448638
1863,0.9339155251141552,0.1410159817351598,0.0002054794520547,0.0,0.0,0.0,0.0,0.0,735100018647.4429,0.5970307595035292,False,True,17.0,partial,0.0003116148632452,0.0002616121750378,-0.6637383443835746,0.0006134561517863916
1864,0.9406164383561644,0.147648401826484,0.0002739726027397,0.0,0.0,0.0,0.0,0.0,753653462619.4636,0.5973412564272905,False,True,17.0,partial,0.0003093948562545,0.0002800218552869,-0.6680104304089045,0.0006380072141083932
1865,0.9473173515981734,0.1542808219178082,0.0003424657534246,0.0,0.0,0.0,0.0,0.0,760509048299.685,0.5976495492160383,False,True,18.0,partial,0.0003072062575852,0.0002982558836627,-0.6722220756106495,0.0006622109492367327
1866,0.9540182648401826,0.1609132420091324,0.0004109589041095,0.0,0.0,0.0,0.0,0.0,769028491822.6038,0.597955668942461,False,True,18.0,partial,0.0003050484053681,0.0003147669553776,-0.6763745536613907,0.0006860746759287458
1867,0.9607191780821918,0.1675456621004566,0.0004794520547945,0.0,0.0,0.0,0.0,0.0,775254364371.0664,0.5982596460267746,False,True,18.0,partial,0.0003029206562015,0.0003295098804662,-0.6804691026958496,0.000709605508751578
1868,0.9674200913242008,0.1741780821917808,0.0005479452054794,0.0,0.0,0.0,0.0,0.0,805183195283.4727,0.598561510254864,False,True,18.0,partial,0.0003008223845113,0.0003439916596801,-0.6845069265417059,0.0007328103651538826
1869,0.97412100456621,0.180810502283105,0.0006164383561643,0.0,0.0,0.0,0.0,0.0,826379035034.994,0.5988612907957973,False,True,18.0,partial,0.0002987529819379,0.0003582192493175,-0.688489195900101,0.000755695972245647
1870,0.9808219178082191,0.1874429223744292,0.0006849315068493,0.0,0.0,0.0,0.0,0.0,1829723623570.8176,0.59915901621874,True,True,67.0,complete,0.0003818903430727,0.0003721993581302,-0.5285032318119828,0.0007782688733001013
1871,0.991404109589041,0.1977168949771689,0.0009931506849315,0.0,0.0,0.0,0.0,0.0,891261334091.0999,0.5996250714819429,False,True,25.0,partial,0.0004635810969245,0.0003859384583492,-0.3713010565965378,0.0008133607337769301
1872,1.0019863013698629,0.2079908675799086,0.0013013698630136,0.0,0.0,0.0,0.0,0.0,923311748823.2368,0.6000861784125892,False,True,25.0,partial,0.0004586847517,0.0003994427961201,-0.3807233728760668,0.0008477113689555605
1873,1.0125684931506849,0.2182648401826484,0.0016095890410958,0.0,0.0,0.0,0.0,0.0,943174079407.4694,0.6005424409853429,False,True,25.0,partial,0.0004538907596189,0.0004127184013859,-0.3899487251659947,0.0008813440181180116
1874,1.0231506849315068,0.2285388127853881,0.001917808219178,0.0,0.0,0.0,0.0,0.0,1028968928010.5562,0.600993959931827,False,True,26.0,partial,0.0004491959443821,0.0004257710972522,-0.3989832257997999,0.0009142809591139607
1875,1.0337328767123286,0.2388127853881278,0.0022260273972602,0.0,0.0,0.0,0.0,0.0,999492217430.0022,0.6014408328741073,False,True,25.0,partial,0.0004445972597754,0.0004386065088634,-0.4078327367815157,0.0009465435575710502
1876,1.0443150684931506,0.2490867579908676,0.0025342465753424,0.0,0.0,0.0,0.0,0.0,994588638012.7812,0.6018831544513779,False,True,25.0,partial,0.0004400917830763,0.0004475189888162,-0.4165028824721695,0.0009781523131132553
1877,1.0548972602739726,0.2593607305936073,0.0028424657534246,0.0,0.0,0.0,0.0,0.0,1017661045702.806,0.60232101644026,False,True,25.0,partial,0.0004356767088602,0.0004525590753466,-0.4249990615105116,0.0010091269027974242
1878,1.0654794520547946,0.2696347031963471,0.0031506849315068,0.0,0.0,0.0,0.0,0.0,1038709456909.7268,0.6027545078690985,False,True,25.0,partial,0.0004313493431734,0.0004574875927522,-0.4333264580254005,0.0010394862219613818
1879,1.0760616438356163,0.2799086757990868,0.003458904109589,0.0,0.0,0.0,0.0,0.0,1058886143536.3892,0.603183715126607,False,True,25.0,partial,0.0004271070980504,0.000462308208261,-0.4414900521860961,0.0010692484226617856
1880,1.0866438356164383,0.2901826484018265,0.0037671232876712,0.0,0.0,0.0,0.0,0.0,1129603158419.1875,0.6036087220651994,True,True,25.0,complete,0.0004710151426006,0.0004670244299878,-0.3569952986517079,0.001098430949866039
1881,1.0996575342465753,0.3051826484018265,0.0044063926940639,0.0003767123287671,0.0,0.0001598173515981,0.0,0.0,1168068272699.3977,0.6041257454118083,False,True,25.0,partial,0.0005139819622285,0.0004716396154783,-0.2743117978989722,0.0011782564844026917
1882,1.1126712328767123,0.3201826484018265,0.0050456621004566,0.0007534246575342,0.0,0.0003196347031963,0.0,0.0,1209112829772.8684,0.6046366859896566,False,True,25.0,partial,0.0005079699257561,0.0004761569797075,-0.2858811024575709,0.0012562147549735796
1883,1.1256849315068491,0.3351826484018265,0.0056849315068493,0.0011301369863013,0.0,0.0004794520547945,0.0,0.0,1236952247176.9854,0.6051416852633207,False,True,25.0,partial,0.0005020969147069,0.0004805796025742,-0.2971828724678558,0.0013323705221786669
1884,1.1386986301369864,0.3501826484018265,0.006324200913242,0.0015068493150684,0.0,0.0006392694063926,0.0,0.0,1488902516159.7188,0.6056408798190706,False,True,26.0,partial,0.0004963581616505,0.000484910435926,-0.3082262821680565,0.001406785586133347
